Entity,Year,gdp_current,gdp_per_capita,health expenditure (per capita),health expenditure (% GDP),unemployment rate,Income group,Income
Gabon,2000,5080483464.0,4135.99238,127.9613724,2.90536737,17.34300041,Upper middle income,3100.0
United Kingdom,2000,1662130000000.0,28223.06757,2029.524902,7.19528341,5.559999943,High income,29230.0
Georgia,2000,3057475289.0,749.9085236,51.85281754,7.194592,10.81999969,Upper middle income,790.0
Ghana,2000,4983024408.0,258.4710399,16.60114098,2.79087734,10.46000004,Lower middle income,340.0
Gibraltar,2000,,,,,,High income,
Guinea,2000,2995361141.0,363.4822793,23.25880432,4.74567652,4.552999973,Low income,400.0
Gambia,2000,782915402.4,594.1493885,50.86863708,6.63892317,9.083000183,Low income,620.0
Guinea-Bissau,2000,371095510.0,308.9103184,21.97258759,6.74484873,6.247000217,Low income,210.0
Equatorial Guinea,2000,1045998496.0,1725.557584,41.02703094,2.14653134,8.454999924,Upper middle income,770.0
Greece,2000,130458000000.0,12072.92936,885.4104004,7.24332571,11.25,High income,
Grenada,2000,520044370.4,5056.977259,270.9839172,5.35886383,,Upper middle income,4610.0
Greenland,2000,1068030830.0,19004.10729,,,,High income,20290.0
Guatemala,2000,19288827159.0,1664.298958,83.95554352,5.39686108,2.724999905,Upper middle income,1670.0
Guam,2000,,,,,15.31999969,High income,
Guyana,2000,712667896.7,954.4003181,63.88974762,3.18737936,11.8579998,Upper middle income,890.0
High income,2000,27706200000000.0,25777.48974,2456.442295,9.421817509,6.528519797,,
"Hong Kong SAR, China",2000,171668000000.0,25756.66378,,,4.920000076,High income,26930.0
Honduras,2000,7103826902.0,1080.510472,68.51774597,6.26817942,3.838999987,Lower middle income,1020.0
Heavily indebted poor countries (HIPC),2000,176406000000.0,373.9940405,17.73747747,4.072886847,5.215423094,,
Croatia,2000,21839780971.0,4887.713716,371.0621338,7.71451426,16.05999947,High income,5210.0
Haiti,2000,6813577558.0,805.0256325,29.78231049,3.95964003,8.404000282,Lower middle income,550.0
Hungary,2000,47218405892.0,4624.281657,313.1085815,6.77804375,6.559999943,High income,4620.0
IBRD only,2000,5850630000000.0,1467.357735,77.62859148,5.258236214,6.016075953,,
IDA & IBRD total,2000,6385860000000.0,1260.692559,65.0863199,5.126025125,5.718581971,,
IDA total,2000,535655000000.0,496.8187461,16.72711914,3.640530928,4.364836891,,
IDA blend,2000,206705000000.0,573.9044106,19.31911341,3.348794155,3.862231893,,
Indonesia,2000,165021000000.0,780.1902047,15.72359753,1.85297656,6.079999924,Lower middle income,580.0
IDA only,2000,329946000000.0,459.5371901,15.40375032,3.824457854,4.587990661,,
Isle of Man,2000,1563667800.0,20322.68202,,,,High income,21880.0
India,2000,468395000000.0,443.3141938,18.50239372,4.03493214,5.56099987,Lower middle income,440.0
Not classified,2000,,,,,,,
Ireland,2000,100208000000.0,26334.56721,1564.837402,5.90420008,4.320000172,High income,25890.0
"Iran, Islamic Rep.",2000,109592000000.0,1670.009674,80.85904694,4.77719402,11.57400036,Lower middle income,1760.0
Iraq,2000,48364250944.0,2058.264401,,,8.727000237,Upper middle income,1600.0
Iceland,2000,9025660362.0,32096.37226,2873.848145,8.929286,1.940000057,High income,31540.0
Israel,2000,132456000000.0,21061.48228,1513.944702,6.7833848,11.10000038,High income,19200.0
Italy,2000,1146680000000.0,20137.59122,1524.239624,7.56665564,10.84000015,High income,40.0
Jamaica,2000,9005064475.0,3392.123878,191.4724731,5.64462566,15.53999996,Upper middle income,3240.0
Jordan,2000,8460424401.0,1651.621798,159.147644,9.34367943,13.69999981,Upper middle income,1670.0
Japan,2000,4968360000000.0,39169.35957,2740.674805,7.03456163,4.75,High income,36230.0
Kazakhstan,2000,18291994909.0,1229.001247,50.99633026,4.16031361,12.75,Upper middle income,1270.0
Kenya,2000,12705357103.0,397.4826588,20.51720238,4.63924408,3.020999908,Lower middle income,410.0
Kyrgyzstan,2000,1369688498.0,279.6195693,12.29036808,4.41414976,7.539999962,Lower middle income,280.0
Cambodia,2000,3654031716.0,300.613679,19.732481,6.54149628,0.967999995,Lower middle income,300.0
Kiribati,2000,67254174.4,796.8032036,68.88991547,8.64500046,,Lower middle income,1330.0
St. Kitts and Nevis,2000,421695769.8,9565.949909,458.5593872,4.79933786,,High income,9120.0
"Korea, Rep.",2000,576178000000.0,12256.99357,474.2362366,3.89759398,4.059999943,High income,11030.0
Kuwait,2000,37712842243.0,18440.37852,406.4113464,2.20343947,0.800000012,High income,17980.0
Latin America & Caribbean (excluding high income),2000,1980740000000.0,4198.206308,275.7082367,6.44984019,8.664153942,,
Lao PDR,2000,1731198022.0,325.1869371,14.38795185,4.27513695,2.062999964,Lower middle income,280.0
Lebanon,2000,17260364842.0,4491.641934,479.6019898,10.83297443,8.31499958,Upper middle income,4600.0
Liberia,2000,874000000.0,306.8338642,13.01916981,4.29219103,2.079999924,Low income,
Libya,2000,38270206950.0,7142.771786,244.6750031,3.42542052,19.67200089,Upper middle income,
Saint Lucia,2000,932592592.6,5950.047485,289.2843018,4.86163425,16.48999977,Upper middle income,5250.0
Latin America & Caribbean,2000,2291890000000.0,4399.835065,285.1500963,6.525188412,9.008150224,,
Least developed countries: UN classification,2000,217451000000.0,330.9605025,12.22629286,3.229058506,4.180984159,,
Low income,2000,188438000000.0,486.8100825,15.16275471,4.000720266,4.968771373,,
Liechtenstein,2000,2483953103.0,74853.93873,,,,High income,78870.0
Sri Lanka,2000,16330814180.0,869.696285,43.71691132,4.24652863,7.739999771,Lower middle income,870.0
Lower middle income,2000,1507450000000.0,616.51806,23.92538897,3.765070869,5.66073682,,
Low & middle income,2000,6002720000000.0,1196.878469,60.89163296,5.036094873,5.551531907,,
Lesotho,2000,887295267.9,436.4881373,23.37423134,5.61176968,35.45700073,Lower middle income,580.0
Late-demographic dividend,2000,3402990000000.0,1663.957107,87.94852492,5.34309163,5.178280443,,
Lithuania,2000,11524776867.0,3293.229979,217.1761322,6.19950438,15.93000031,High income,930.0
Luxembourg,2000,21230182989.0,48659.59888,2901.199951,5.90136147,2.349999905,High income,3370.0
Latvia,2000,7958852839.0,3361.640869,181.5707245,5.4399581,14.21000004,High income,4720.0
"Macao SAR, China",2000,6774193548.0,15835.99101,,,6.869999886,High income,14720.0
St. Martin (French part),2000,,,,,,High income,
Morocco,2000,38857251336.0,1334.943464,53.68618393,3.97807431,13.57999992,Lower middle income,1390.0
Monaco,2000,2647885849.0,82365.49236,1408.094238,1.73622334,,High income,
Moldova,2000,1288429392.0,440.6720307,21.37988472,5.92687225,8.460000038,Upper middle income,490.0
Madagascar,2000,4629247091.0,293.6071574,13.12315464,4.46962881,5.800000191,Low income,290.0
Maldives,2000,624337145.3,2234.595861,221.9207306,7.73655844,1.970000029,Upper middle income,2070.0
Middle East & North Africa,2000,1046430000000.0,3318.57082,147.3807421,4.47266907,12.03804159,,
Mexico,2000,707907000000.0,7157.8145,318.4615173,4.44912481,2.650000095,Upper middle income,6210.0
Marshall Islands,2000,115347500.0,2272.678016,431.5645752,19.04625702,,Upper middle income,2960.0
Middle income,2000,5819850000000.0,1257.470214,64.16483784,5.066548106,5.593690827,,
North Macedonia,2000,3772857145.0,1861.898065,164.4736481,8.86991501,32.20000076,Upper middle income,1910.0
Mali,2000,2961476518.0,270.542236,14.7887373,5.46631575,5.626999855,Low income,280.0
Malta,2000,4069515579.0,10432.32812,647.1015015,6.57308626,6.320000172,High income,11400.0
Myanmar,2000,6849321646.0,146.6045788,4.33537483,1.99549341,0.651000023,Lower middle income,
Middle East & North Africa (excluding high income),2000,532014000000.0,1904.949977,80.08070361,4.722068635,13.18114156,,
Montenegro,2000,984297589.4,1627.072633,,,28.58799934,Upper middle income,
Mongolia,2000,1136896124.0,474.2170943,27.00856018,4.87262106,6.227000237,Lower middle income,470.0
Northern Mariana Islands,2000,,,,,,High income,
Mozambique,2000,5656473652.0,319.3596208,7.08691597,2.26010299,2.852999926,Low income,320.0
Mauritania,2000,1779523344.0,676.5690224,22.85624313,3.37825727,9.848999977,Lower middle income,730.0
Mauritius,2000,4663313620.0,3929.075495,118.9770737,2.89581966,9.177000046,Upper middle income,3900.0
Malawi,2000,1743506531.0,156.3858168,7.47427797,2.7561748,5.788000107,Low income,160.0
Malaysia,2000,93789736842.0,4043.662923,110.7465973,2.51463366,3.0,Upper middle income,3460.0
North America,2000,11000600000000.0,35155.79564,4294.735943,12.19742719,4.275388135,,
Namibia,2000,3922247990.0,2185.604115,209.9229584,9.63792515,20.29999924,Upper middle income,2240.0
New Caledonia,2000,3420032042.0,16039.16917,,,17.47800064,High income,14020.0
Niger,2000,2241753120.0,197.8326834,9.24822903,4.69006205,1.49000001,Low income,220.0
Nigeria,2000,69448756933.0,567.9307221,17.73399544,3.19738436,3.953999996,Lower middle income,470.0
Nicaragua,2000,5107329007.0,1007.499839,52.80468369,5.23883677,7.354000092,Lower middle income,960.0
Netherlands,2000,417479000000.0,26214.49855,2028.159912,7.70687819,2.730000019,High income,
Norway,2000,171247000000.0,38131.46061,2948.931641,7.71215487,3.460000038,High income,36540.0
Nepal,2000,5494252208.0,229.4903926,8.55345249,3.12598538,1.855000019,Lower middle income,230.0
Nauru,2000,,,456.1725769,18.12374687,,High income,
New Zealand,2000,52623281957.0,13641.10272,1053.891602,7.4700222,6.130000114,High income,14080.0
OECD members,2000,27629200000000.0,23008.32092,2151.391425,9.345749703,6.776392652,,
Oman,2000,19507452536.0,8601.271944,263.5175171,3.06354713,4.093999863,High income,7070.0
Other small states,2000,91409484062.0,4370.08818,227.4944149,4.635332693,13.66165815,,
Pakistan,2000,82017743416.0,576.1955804,15.58189678,2.88551998,0.578999996,Lower middle income,480.0
Panama,2000,12304115000.0,4060.317793,285.2023315,6.9129467,3.813999891,Upper middle income,3910.0
Peru,2000,51744749133.0,1955.588006,84.07585907,4.41482639,4.883999825,Upper middle income,1970.0
Philippines,2000,83669693589.0,1072.801752,32.77544785,3.05511928,3.653000116,Lower middle income,1150.0
Palau,2000,146297500.0,7657.951214,678.1436768,8.87392807,,High income,
Papua New Guinea,2000,3521339699.0,602.1864903,17.84069252,2.0184176,2.920000076,Lower middle income,570.0
Poland,2000,172219000000.0,4501.454067,238.0044861,5.28789568,16.30999947,High income,4670.0
Pre-demographic dividend,2000,277551000000.0,504.0338004,17.85619559,3.642872793,5.059550412,,
Puerto Rico,2000,61701800000.0,16192.12697,,,10.07999992,High income,10550.0
"Korea, Dem. People's Rep.",2000,,,,,2.933000088,,
Portugal,2000,118605000000.0,11526.37207,995.3421021,8.60104179,3.809999943,High income,190.0
Paraguay,2000,8855705140.0,1663.604939,100.1265335,6.01865196,7.610000134,Upper middle income,1440.0
West Bank and Gaza,2000,4313600000.0,1476.17185,,,10.63000011,Lower middle income,1550.0
Pacific island small states,2000,3444921970.0,1755.418082,89.32945982,4.882527323,3.179532391,,
Post-demographic dividend,2000,26396300000000.0,25865.88818,2478.020161,9.572990254,6.531343342,,
French Polynesia,2000,3447543203.0,14324.11866,,,11.67199993,High income,15770.0
Qatar,2000,17759890110.0,29976.16763,602.1158447,1.97258496,0.842000008,High income,
Romania,2000,37253259017.0,1659.90764,69.89345551,4.20876122,6.96999979,Upper middle income,1710.0
Russian Federation,2000,259710000000.0,1771.594059,95.4120636,5.01989794,10.57999992,Upper middle income,1710.0
Rwanda,2000,2067528500.0,260.6011858,9.322052,4.26349449,0.787,Low income,280.0
South Asia,2000,630429000000.0,453.2376041,17.49122579,3.718784861,4.933336882,,
Saudi Arabia,2000,189515000000.0,9171.331476,386.2592163,4.2115941,4.570000172,High income,8150.0
Sudan,2000,12257418326.0,366.172742,15.23164654,3.60664463,15.22999954,Low income,340.0
Senegal,2000,6013184809.0,613.7323845,21.72433662,3.53971124,5.605999947,Lower middle income,670.0
Singapore,2000,96074477958.0,23852.32703,797.2903442,3.34336376,3.700000048,High income,23680.0
Solomon Islands,2000,419933580.9,1017.613757,49.11304855,4.82626629,2.026000023,Lower middle income,980.0
Sierra Leone,2000,635874002.2,138.6987225,23.31109047,11.51732922,3.434000015,Low income,140.0
El Salvador,2000,11784927700.0,2001.540049,178.6319275,8.92467785,6.960000038,Lower middle income,1900.0
San Marino,2000,1005159388.0,36604.49338,2141.73999,5.83692789,,High income,
Somalia,2000,,,,,19.05200005,Low income,
Serbia,2000,6875845987.0,914.7857199,56.50500107,6.49934578,12.60000038,Upper middle income,1610.0
Sub-Saharan Africa (excluding high income),2000,422469000000.0,635.0559245,34.17918206,5.404745732,6.66825502,,
South Sudan,2000,,,,,12.05700016,Low income,
Sub-Saharan Africa,2000,423088000000.0,635.9089536,34.21931858,5.403556064,6.66825502,,
Small states,2000,129063000000.0,4390.926636,224.0642617,4.657959636,12.96812054,,
Sao Tome and Principe,2000,,,56.67601013,10.51090622,14.39999962,Lower middle income,
Suriname,2000,947671969.7,2012.281651,168.918747,6.28476238,12.73799992,Upper middle income,1970.0
Slovakia,2000,29242558797.0,5426.624281,203.5062714,5.30256939,19.05999947,High income,
Slovenia,2000,20289627637.0,10201.30354,796.6470337,7.80406952,6.920000076,High income,
Sweden,2000,262835000000.0,29624.91267,2173.193848,7.32689953,5.46999979,High income,31610.0
Eswatini,2000,1738100853.0,1728.710498,79.68417358,4.60951757,24.24399948,Lower middle income,1670.0
Sint Maarten (Dutch part),2000,,,,,,High income,
Seychelles,2000,614879764.8,7578.851053,349.9909668,4.61071825,,High income,7290.0
Syrian Arab Republic,2000,80590022272.0,4910.777748,54.21872711,4.34962416,9.604000092,Low income,970.0
Turks and Caicos Islands,2000,,,,,,High income,
Chad,2000,1388506727.0,166.1757089,10.26314449,5.45750237,0.806999981,Low income,180.0
East Asia & Pacific (IDA & IBRD countries),2000,1732080000000.0,965.7563454,37.88793365,3.951991078,3.412185521,,
Europe & Central Asia (IDA & IBRD countries),2000,894261000000.0,2059.062135,106.5557741,5.041105598,11.24987914,,
Togo,2000,1491891108.0,302.958592,11.41868877,2.79417205,3.984999895,Low income,310.0
Thailand,2000,126392000000.0,2007.735271,62.2649498,3.10125375,2.390000105,Upper middle income,1980.0
Tajikistan,2000,860521119.3,138.4291467,5.97125244,4.26492453,15.13099957,Lower middle income,170.0
Turkmenistan,2000,2904662605.0,643.1754381,76.63774109,6.89164257,11.53600025,Upper middle income,600.0
Latin America & the Caribbean (IDA & IBRD countries),2000,2177400000000.0,4312.356393,286.8393221,6.536159365,9.078529128,,
Timor-Leste,2000,367087900.0,415.0859486,,,3.413000107,Lower middle income,
Middle East & North Africa (IDA & IBRD countries),2000,527700000000.0,1909.483798,80.08070361,4.722068635,13.20069714,,
Tonga,2000,204849612.6,2091.113009,58.27169418,3.02391076,4.079999924,Upper middle income,2080.0
South Asia (IDA & IBRD),2000,630429000000.0,453.2376041,17.49122579,3.718784861,4.933336882,,
Sub-Saharan Africa (IDA & IBRD countries),2000,423088000000.0,635.9089536,34.21931858,5.403556064,6.66825502,,
Trinidad and Tobago,2000,8154338233.0,6435.134212,277.2157898,4.23492432,12.10000038,High income,5400.0
Tunisia,2000,21473261837.0,2211.835015,111.6608505,5.04834366,14.93999958,Lower middle income,2270.0
Turkey,2000,274303000000.0,4337.478003,199.4993744,4.59957218,6.5,Upper middle income,4320.0
Tuvalu,2000,13742057.05,1463.166211,359.1017761,24.24389076,,Upper middle income,
Tanzania,2000,13375976354.0,410.9523655,12.6108675,3.41530037,3.062999964,Lower middle income,410.0
Uganda,2000,6193246837.0,261.8691416,16.63032341,5.0709548,3.026000023,Low income,270.0
Ukraine,2000,32375082563.0,658.3445866,35.13175964,5.30685234,11.71000004,Lower middle income,700.0
Upper middle income,2000,4312390000000.0,1975.32781,109.4805379,5.523509258,5.538164086,,
Uruguay,2000,22823255802.0,6875.025469,687.930542,9.21095848,12.63000011,High income,7060.0
United States,2000,10252300000000.0,36334.90878,4543.436035,12.48431969,3.99000001,High income,35960.0
Uzbekistan,2000,13760513969.0,558.2268024,35.63145828,5.42173624,12.22700024,Lower middle income,630.0
Saint Vincent and the Grenadines,2000,396262963.0,3676.352092,157.9358673,4.29551268,20.95499992,Upper middle income,3470.0
"Venezuela, RB",2000,117141000000.0,4842.036601,355.1282349,7.33427334,13.98999977,,4120.0
British Virgin Islands,2000,,,,,,High income,
Virgin Islands (U.S.),2000,,,,,11.10900021,High income,
Vietnam,2000,31172518403.0,390.0933309,18.91674423,3.81915784,2.25999999,Lower middle income,410.0
Vanuatu,2000,272014693.1,1470.63587,48.71302414,3.31252217,1.687000036,Lower middle income,1430.0
World,2000,33831900000000.0,5533.226671,478.8057165,8.6301927,5.769080838,,
Samoa,2000,269019710.3,1542.066736,63.03668213,4.39660835,4.664000034,Lower middle income,
Kosovo,2000,,,,,,Upper middle income,
Yemen,2000,9652436180.0,554.4486653,25.82774544,4.66606522,11.55799961,Low income,430.0
South Africa,2000,151753000000.0,3374.718423,247.5892334,8.16472149,29.87999916,Upper middle income,3070.0
Zambia,2000,3600683040.0,345.6896207,24.72463989,7.15237093,12.93000031,Lower middle income,330.0
Zimbabwe,2000,6689957600.0,563.0575041,,,5.688000202,Lower middle income,510.0
Aruba,2001,1920111732.0,20670.36701,,,,High income,19170.0
Africa Eastern and Southern,2001,258843000000.0,633.608789,38.93847086,6.39062755,7.732945434,,
Afghanistan,2001,,,,,10.80900002,Low income,
Africa Western and Central,2001,148012000000.0,539.3357244,21.03454484,3.770255085,4.865751876,,
Angola,2001,8936063723.0,527.3335285,28.91812134,4.48351622,4.004000187,Lower middle income,390.0
Albania,2001,3922100794.0,1281.659826,89.58073425,7.13952398,18.57500076,Upper middle income,1280.0
Andorra,2001,1546926174.0,22970.51221,1347.484985,5.86593914,,High income,
Arab World,2001,798525000000.0,2768.502103,116.5093373,4.284497842,12.46938035,,
United Arab Emirates,2001,103312000000.0,31280.75586,777.1306152,2.48437047,2.493000031,High income,31970.0
Argentina,2001,268697000000.0,7208.373114,675.0578613,8.37179756,17.31999969,Upper middle income,7000.0
Armenia,2001,2118467913.0,694.4234554,32.25933838,4.64562702,10.9119997,Upper middle income,710.0
American Samoa,2001,,,,,,Upper middle income,
Antigua and Barbuda,2001,800481481.5,10367.31961,563.7371216,5.43587589,,High income,9850.0
Australia,2001,379084000000.0,19527.32358,1564.166504,7.69622898,6.739999771,High income,20110.0
Austria,2001,197509000000.0,24558.76368,2282.515869,9.26942921,4.010000229,High income,25320.0
Azerbaijan,2001,5707720391.0,703.6838434,19.19028282,2.75590682,10.90999985,Upper middle income,650.0
Burundi,2001,876794723.1,134.3634269,8.60474777,6.40484381,1.587000012,Low income,130.0
Belgium,2001,236746000000.0,23015.07126,1879.934814,8.14988804,6.179999828,High income,24460.0
Benin,2001,3666222600.0,518.0674741,16.83250046,3.24910021,0.771000028,Lower middle income,530.0
Burkina Faso,2001,3190371050.0,267.0975996,7.71472406,2.88835382,2.648000002,Low income,280.0
Bangladesh,2001,53991289844.0,415.0344043,8.36238003,2.06375051,3.617000103,Lower middle income,440.0
Bulgaria,2001,14183497963.0,1770.913534,119.8299789,6.85958767,19.92000008,Upper middle income,1770.0
Bahrain,2001,8976196809.0,12868.17692,484.9073486,3.68104196,1.10800004,High income,11500.0
Bahamas,2001,8317830000.0,27486.23677,1078.694458,3.92440891,6.869999886,High income,26560.0
Bosnia and Herzegovina,2001,5800774717.0,1544.602075,112.0685196,7.27702522,26.61400032,Upper middle income,1600.0
Belarus,2001,12354820144.0,1244.373185,74.33643341,5.70827103,11.5539999,Upper middle income,1300.0
Belize,2001,868358750.0,3404.420586,157.4631958,4.63241482,9.069999695,Lower middle income,3130.0
Bermuda,2001,3680483000.0,58883.95943,,,,High income,
Bolivia,2001,8141537938.0,948.8702113,45.78475189,4.82522202,2.484999895,Lower middle income,950.0
Brazil,2001,559984000000.0,3160.249345,270.1898193,8.54960632,9.609999657,Upper middle income,3350.0
Barbados,2001,3054500000.0,11209.42112,619.3395996,5.52529192,9.850000381,High income,10630.0
Brunei Darussalam,2001,5601090584.0,16472.00329,464.7904358,2.54995036,5.784999847,High income,16070.0
Bhutan,2001,461444513.7,764.4328082,35.94556046,5.0041995,1.899999976,Lower middle income,750.0
Botswana,2001,5489608300.0,3278.016079,201.8108063,6.15671635,18.54000092,Upper middle income,3260.0
Central African Republic,2001,931833302.8,250.3571459,9.56678581,3.95594192,5.69299984,Low income,260.0
