,Entity,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent),Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate),gdp_current,gdp_per_capita,health expenditure (per capita),health expenditure (% GDP),unemployment rate,Income group,Income,DALYs (Disability-Adjusted Life Years) - Mental disorders - Sex: Both - Age: All Ages (Percent),Suicide rate
14,Afghanistan,2014,17.15369385245716,0.5951086231723299,0.0987637202905191,20497126770.0,614.2233424,59.00893402,9.52887058,11.1420002,Low income,630.0,3.4443421445282905,6.0 
15,Afghanistan,2015,17.125415531764528,0.59080726869879,0.1018257140969255,19134211764.0,556.0072209,58.90652847,10.10534763,11.12699986,Low income,600.0,3.46007738090596,6.0 
16,Afghanistan,2016,17.11012867708574,0.59364656184112,0.105358996596123,18116562465.0,512.0127781,60.18867111,11.81856155,11.15799999,Low income,550.0,3.50551663753014,6.0 
17,Afghanistan,2017,17.103263301715398,0.6268256547000399,0.1083985647464345,18753469630.0,516.6798622,65.70602417,12.62081718,11.18000031,Low income,530.0,3.72926923368299,6.0 
18,Afghanistan,2018,17.10424437055579,0.61967676776126,,18053228579.0,485.6684187,69.99860382,14.12674332,11.15200043,Low income,520.0,3.81751685534591,5.9 
19,Afghanistan,2019,17.11761173310941,0.63895317189102,,18799450743.0,494.1793499,65.80603027,13.24220181,11.21700001,Low income,530.0,3.99127542532041,6.0 
20,Albania,2000,11.71942648972776,0.90455416020111,0.7460687955580043,3480355258.0,1126.68334,80.61695099,7.2333703,19.02799988,Upper middle income,1100.0,5.1990954693347895,5.2 
21,Albania,2001,11.71102791202426,0.91194707553462,0.7676561087356404,3922100794.0,1281.659826,89.58073425,7.13952398,18.57500076,Upper middle income,1280.0,5.39750366156618,4.7 
22,Albania,2002,11.70261700758612,0.91783567405339,0.8266496807943351,4348068242.0,1425.124219,96.27111816,6.90934134,17.89500046,Upper middle income,1370.0,5.427811365518441,4.8 
23,Albania,2003,11.69014503184048,0.92536003923146,0.9062063384720832,5611496257.0,1846.120121,125.9879761,7.06348991,16.98900032,Upper middle income,1650.0,5.38240972797683,4.9 
24,Albania,2004,11.67775187771095,0.94458325213085,0.9703004340380268,7184685782.0,2373.581292,156.5681763,6.77337217,16.30999947,Upper middle income,2100.0,5.42735341407992,4.9 
25,Albania,2005,11.65937289884377,0.95187058439077,1.0161162694125545,8052073539.0,2673.786584,165.2653656,6.33554173,15.97000027,Upper middle income,2620.0,5.54482697839224,7.7 
26,Albania,2006,11.63877334390668,0.94342771536137,1.0667486458728468,8896072919.0,2972.742924,174.5302429,6.00927734,15.63000011,Upper middle income,3050.0,5.71360709460395,7.8 
27,Albania,2007,11.62024692650258,0.94549849023609,1.1057144897150983,10677324144.0,3595.038057,222.3036652,6.31683397,15.97000027,Upper middle income,3460.0,5.85413746815657,8.1 
28,Albania,2008,11.602412077886813,0.94876651392362,1.192760648000562,12881353508.0,4370.539925,220.4642487,5.1390624,13.06000042,Upper middle income,4030.0,5.82738269760216,8.1 
29,Albania,2009,11.58498668060356,0.92733799641712,1.2599738381709684,12044208086.0,4114.134899,186.4428101,4.6022253,13.67000008,Upper middle income,4280.0,5.89841787098761,8.0 
30,Albania,2010,11.56868845256158,0.905871714964,1.303447073920562,11926922829.0,4094.348386,192.0032196,4.7457962,14.09000015,Upper middle income,4360.0,5.88442167886523,7.6 
31,Albania,2011,11.5665759338213,0.8743797777881399,1.2959782247361424,12890764531.0,4437.142612,211.0755158,4.79534149,13.47999954,Upper middle income,4410.0,5.81940522711297,7.6 
32,Albania,2012,11.57076045424944,0.84392268967599,1.3235964208014133,12319830437.0,4247.630047,213.7197418,5.05526543,13.38000011,Upper middle income,4360.0,5.77805628903465,4.8 
33,Albania,2013,11.57598584093258,0.81415665891865,1.349707866170702,12776220507.0,4413.062005,236.957962,5.38561106,15.86999989,Upper middle income,4540.0,5.7284577908416106,4.8 
34,Albania,2014,11.57874325627064,0.78762464579892,1.363702982413675,13228147516.0,4578.633208,251.3582611,5.50347328,18.04999924,Upper middle income,4540.0,5.63705240717547,4.5 
35,Albania,2015,11.57676344158347,0.76625965600959,1.390172008547961,11386850130.0,3952.802538,192.8851318,4.89631176,17.19000053,Upper middle income,4390.0,5.5483072966109,4.2 
36,Albania,2016,11.56444277958855,0.74165425982017,1.415020466390571,11861199831.0,4124.05539,202.0133209,4.91601658,15.42000008,Upper middle income,4320.0,5.49403114493858,4.2 
37,Albania,2017,11.548472614716433,0.7156644418064301,1.4318276378133026,13019689337.0,4531.019374,226.2806702,5.01263571,13.61999989,Upper middle income,4290.0,5.437396969298669,4.1 
38,Albania,2018,11.54789863353455,0.69231734344019,,15156432310.0,5287.663694,274.914093,5.23207188,12.30000019,Upper middle income,4860.0,5.39692774343076,3.9 
39,Albania,2019,11.55843098896931,0.66945713726428,,15400242875.0,5395.659532,,,11.47000027,Upper middle income,5220.0,5.35038482408787,3.7 
40,Algeria,2000,14.96918823607559,1.012233332995,0.4693731851346184,54790392746.0,1765.027146,61.58218002,3.48903275,29.77000046,Lower middle income,1590.0,6.10807436795792,4.7 
41,Algeria,2001,14.9562976090436,1.01790999274155,0.4458286569070402,54744712815.0,1740.606654,66.80211639,3.83787704,27.29999924,Lower middle income,1670.0,6.27974907522684,4.6 
42,Algeria,2002,14.93109525358257,1.01928373216745,0.443150823487945,56760355865.0,1781.828908,66.46335602,3.7300415,25.89999962,Lower middle income,1730.0,6.44181142560422,4.4 
43,Algeria,2003,14.904491974516072,0.97989387548583,0.4396049601391844,67863828413.0,2103.381291,75.7433548,3.60104108,23.71999931,Lower middle income,1920.0,6.52238225532888,4.1 
44,Algeria,2004,14.87228484302989,0.98503652192078,0.4531196089106981,85332581189.0,2610.185422,92.50652313,3.5440731,17.64999962,Lower middle income,2250.0,6.75514586722403,4.0 
45,Algeria,2005,14.844241061084787,0.97306836058977,0.470902485226213,103198000000.0,3113.094883,100.713829,3.2351613,15.27000046,Lower middle income,2710.0,6.87667528450189,3.8 
46,Algeria,2006,14.8164240899919,0.95523077105849,0.4904694893512625,117027000000.0,3478.710002,116.7143173,3.35510182,12.27000046,Lower middle income,3100.0,6.96664494970472,3.7 
47,Algeria,2007,14.78435954215652,0.93189455915687,0.5115290915334993,134977000000.0,3950.512993,150.9656372,3.8214159,13.78999996,Lower middle income,3600.0,7.03354602324639,3.5 
48,Algeria,2008,14.750993542695632,0.91266553510222,0.5339317974550603,171001000000.0,4923.631615,206.8851929,4.20188379,11.32999992,Lower middle income,4220.0,7.11177056747851,3.3 
49,Algeria,2009,14.72392709675483,0.89043056735695,0.5569131911614661,137211000000.0,3883.2709,208.1199188,5.3593955,10.15999985,Lower middle income,4290.0,7.162919498183911,3.2 
50,Algeria,2010,14.70733652917198,0.8717639582192099,0.5873739357882284,161207000000.0,4480.786318,229.2894592,5.11717176,9.960000038,Lower middle income,4480.0,7.249127346672821,3.0 
51,Algeria,2011,14.702434481091812,0.8597714374150699,0.6182363261231945,200013000000.0,5455.679403,287.3861084,5.26748085,9.960000038,Lower middle income,4600.0,7.29194615978014,2.9 
52,Algeria,2012,14.71024322058784,0.84485989843397,0.6456321354151477,209059000000.0,5592.220115,335.5619507,6.00050974,10.97000027,Lower middle income,5170.0,7.3557197958268095,2.9 
53,Algeria,2013,14.72579325123602,0.8313961244326601,0.6770643689574163,209755000000.0,5499.587331,331.9416809,6.03576279,9.819999695,Lower middle income,5510.0,7.39192178065368,2.9 
54,Algeria,2014,14.737724909462848,0.81697865444031,0.7112475299707327,213810000000.0,5493.056695,359.6421204,6.54721403,10.21000004,Lower middle income,5490.0,7.41085415876689,2.8 
55,Algeria,2015,14.73865727004338,0.7973536346387999,0.7437908303180668,165979000000.0,4177.889542,291.5535278,6.9784894,11.21000004,Lower middle income,4850.0,7.45699283008984,2.7 
56,Algeria,2016,14.722310221546287,0.77244343928841,0.774650220698588,160034000000.0,3946.452447,260.761261,6.60749578,10.19999981,Lower middle income,4370.0,7.54549555668877,2.6 
57,Algeria,2017,14.71085255805818,0.7557722493126701,0.8140199751695063,170097000000.0,4109.698217,258.0639648,6.27938414,10.33300018,Lower middle income,3940.0,7.63256516250665,2.5 
58,Algeria,2018,14.73403927744812,0.7549386271304901,,174911000000.0,4142.018558,256.0094605,6.16302586,10.42000008,Lower middle income,3980.0,7.694053418841331,2.6 
59,Algeria,2019,14.78293096447923,0.7524934065001,,171767000000.0,3989.668276,248.2058716,6.24337101,10.51299953,Lower middle income,4010.0,7.80709701047482,2.6 
60,Angola,2000,13.6546319288648,0.5959124526472199,0.4103979961978138,9129634978.0,556.8386317,12.99896717,1.90859938,4.03000021,Lower middle income,360.0,1.54315474447387,17.6 
61,Angola,2001,13.6437432798313,0.59799317030194,0.3959803114606142,8936063723.0,527.3335285,28.91812134,4.48351622,4.004000187,Lower middle income,390.0,1.59315577665139,17.5 
62,Angola,2002,13.62604096385305,0.60256329789455,0.4305773905624281,15285594828.0,872.4944418,29.04936409,3.32946134,3.960999966,Lower middle income,590.0,1.67075803715443,17.2 
63,Angola,2003,13.603534368994447,0.61743469222098,0.4795944789327669,17812705294.0,982.9610078,34.87518692,3.54797316,3.957999945,Lower middle income,710.0,1.73106921180587,17.5 
64,Angola,2004,13.57687666961693,0.64061665625298,0.5024759064253567,23552052408.0,1255.564513,49.81074142,3.96720099,3.915999889,Lower middle income,1010.0,1.78730817181624,17.2 
65,Angola,2005,13.5533740299644,0.64406374944625,0.5077750102834196,36970918699.0,1902.42215,54.26077652,2.85219693,3.881999969,Lower middle income,1370.0,1.86656175291642,16.3 
66,Angola,2006,13.52676871964412,0.66024488171234,0.5223130436186334,52381006892.0,2599.565948,69.81230164,2.68553662,3.85800004,Lower middle income,1810.0,1.9331575526097904,17.1 
67,Angola,2007,13.49573211676279,0.68293509204066,0.5362924186362323,65266452081.0,3121.996085,92.86030579,2.97438812,3.821000099,Lower middle income,2460.0,2.04942504388205,15.0 
68,Angola,2008,13.45607185547015,0.70886745724124,0.5640124392531072,88538611205.0,4080.941034,135.6058197,3.32290483,3.792999983,Lower middle income,3030.0,2.16231037160246,15.3 
69,Angola,2009,13.42260648263249,0.74153430996126,0.5775981989740223,70307163678.0,3122.781599,119.9962845,3.84260869,3.779999971,Lower middle income,3170.0,2.2737294599951,13.6 
70,Angola,2010,13.398892157094547,0.77410310028941,0.5994766043557757,83799496611.0,3587.883645,96.69701385,2.69510007,9.430000305,Lower middle income,3230.0,2.39606066697265,14.2 
71,Angola,2011,13.38231770364966,0.8059379437728,0.6218106222814215,111790000000.0,4615.468219,122.1072311,2.64560795,7.360000134,Lower middle income,3410.0,2.52130285599378,13.5 
72,Angola,2012,13.36720648042088,0.83912625530858,0.6419478942369001,128053000000.0,5100.097027,122.185585,2.39574957,7.347000122,Lower middle income,4170.0,2.65382153306232,14.2 
73,Angola,2013,13.35196824782083,0.8688078770411899,0.6645749922844798,136710000000.0,5254.881126,143.6068726,2.73282766,7.366000175,Lower middle income,4780.0,2.80194750174925,14.2 
74,Angola,2014,13.34571116474613,0.89016915354129,0.6780666759048153,145712000000.0,5408.4117,131.6476593,2.43412852,7.372000217,Lower middle income,5010.0,2.97693472225541,13.1 
75,Angola,2015,13.34620193459668,0.91933384032589,0.7102216691330268,116194000000.0,4166.979833,108.5829392,2.60579491,7.392000198,Lower middle income,4520.0,3.1361196164977803,13.3 
76,Angola,2016,13.35190923207373,0.93428325226198,0.7331122747685409,101124000000.0,3506.073128,95.12497711,2.71314907,7.412000179,Lower middle income,3770.0,3.28326237156087,12.9 
77,Angola,2017,13.35861705745614,0.97568437237944,0.7556223370576641,122124000000.0,4095.810057,114.3346024,2.79150295,7.407999992,Lower middle income,3450.0,3.4472602652880804,12.4 
78,Angola,2018,13.353600685694488,1.01068023281045,,101353000000.0,3289.643995,87.31073761,2.54010224,7.421000004,Lower middle income,3210.0,3.61127299224366,12.4 
79,Angola,2019,13.33846811117294,1.04058979999748,,89417190341.0,2809.626088,71.32600403,2.53335953,7.421000004,Lower middle income,2970.0,3.77516715847193,12.6 
80,Antigua and Barbuda,2000,13.93589685575471,0.41694985799614,1.0592525378344395,826370370.4,10872.29295,512.5682983,4.69438457,,High income,10100.0,6.45754792915107,2.0 
81,Antigua and Barbuda,2001,13.94223100149804,0.42036349936576,0.9399205019613645,800481481.5,10367.31961,563.7371216,5.43587589,,High income,9850.0,6.574910918482741,1.9 
82,Antigua and Barbuda,2002,13.94824701639239,0.4396353764029899,0.8596951621983827,814381481.5,10401.05088,550.0645752,5.28793621,,High income,9660.0,6.69164442633286,1.3 
83,Antigua and Barbuda,2003,13.951554877636893,0.4580891729264399,0.8024407136713954,856396296.3,10797.95106,602.6936035,5.58626556,,High income,10530.0,6.791361122726169,1.4 
84,Antigua and Barbuda,2004,13.954201339547758,0.4654412177835,0.762515623580049,919729629.6,11446.96914,585.7212524,5.11667967,,High income,11450.0,6.84233246304255,2.0 
85,Antigua and Barbuda,2005,13.95113104046932,0.47613613908434,0.7261170282708002,1022962963.0,12557.54785,626.7166748,4.9945569,,High income,12420.0,6.906234902619659,1.3 
86,Antigua and Barbuda,2006,13.948680247065958,0.4755678794011,0.697087889193408,1157662963.0,13995.80442,648.2271118,4.63347101,,High income,13810.0,6.91170185514011,0.4 
87,Antigua and Barbuda,2007,13.939356533931498,0.40923367714666,0.6725686938829029,1312759259.0,15622.69287,694.536438,4.44986248,,High income,15090.0,6.76982303908529,0.3 
88,Antigua and Barbuda,2008,13.929131438023552,0.42182581992473,0.6529346787313336,1370070370.0,16044.1058,673.8375244,4.2048173,,High income,15250.0,6.782250415243039,0.2 
89,Antigua and Barbuda,2009,13.92502581224156,0.46305637954695,0.6415327731301853,1228329630.0,14160.562,591.4252319,4.19123125,,High income,13600.0,6.89779038807137,0.0 
90,Antigua and Barbuda,2010,13.92766651217327,0.4776091358259899,0.6328230311466462,1148700000.0,13048.96058,701.8178101,5.37907028,,High income,12690.0,6.87637044016855,0.1 
91,Antigua and Barbuda,2011,13.94474708578281,0.48042993409477,0.6305042640259758,1137637037.0,12746.63347,693.807251,5.44257212,,High income,12370.0,6.86128245208314,0.2 
92,Antigua and Barbuda,2012,13.97471611285989,0.4815753699004599,0.6335928055121569,1199948148.0,13272.73494,727.256958,5.47921419,,High income,12780.0,6.85817002379078,0.0 
93,Antigua and Barbuda,2013,14.009365903804849,0.47920772585682,0.6453313010702113,1181448148.0,12910.59063,711.2297974,5.50909281,,High income,12620.0,6.86033609359993,0.0 
94,Antigua and Barbuda,2014,14.041716215695068,0.4733917111587999,0.6693388841219292,1249733333.0,13501.58092,792.8414917,5.87269974,,High income,12760.0,6.77936920333251,0.4 
95,Antigua and Barbuda,2015,14.06148127986227,0.46801744692907,0.6807720346213223,1336692593.0,14285.32978,754.2418823,5.27965546,,High income,12850.0,6.741363580880461,0.4 
96,Antigua and Barbuda,2016,14.06277177302166,0.4633321347908,0.680660705369487,1436585185.0,15198.74297,778.4511108,5.12190151,,High income,13580.0,6.7071186136235,0.5 
97,Antigua and Barbuda,2017,14.06152788539408,0.45284823063066,0.691478576308979,1467977778.0,15383.5764,750.0192261,4.87493944,,High income,14320.0,6.66574938041847,0.0 
98,Antigua and Barbuda,2018,14.102881319158032,0.44984269719607,,1605944444.0,16679.59166,808.6992798,4.85093021,,High income,15880.0,6.670986138111799,0.3 
99,Antigua and Barbuda,2019,14.17751299809818,0.4492034742231999,,1687533333.0,17376.64968,760.2649536,4.44295979,,High income,16160.0,6.680275005386551,0.3 
100,Argentina,2000,13.821448896945048,1.56695918795367,5.307497434921294,284204000000.0,7708.099115,708.7695313,8.2200098,15.0,Upper middle income,7470.0,5.82977477154237,9.2 
101,Argentina,2001,13.83553357319238,1.59906732303901,4.386588658187609,268697000000.0,7208.373114,675.0578613,8.37179756,17.31999969,Upper middle income,7000.0,5.868289344730139,10.3 
102,Argentina,2002,13.85481565729271,1.57942007764743,3.182395847214273,97724004252.0,2593.404563,223.8486023,7.3933115,19.59000015,Upper middle income,4040.0,5.86214175275412,10.3 
103,Argentina,2003,13.877456987373929,1.50764215848175,2.7169338051874927,127587000000.0,3349.8063,262.2865906,6.89451599,15.35999966,Upper middle income,3650.0,5.92199082195645,9.7 
104,Argentina,2004,13.896851014409531,1.46884824189024,2.066226956483379,164658000000.0,4277.721573,311.6450501,7.22868299,13.52000046,Upper middle income,3370.0,6.0834525283227,8.7 
105,Argentina,2005,13.90280753674839,1.47759072897832,1.232867914809458,198737000000.0,5109.852245,392.5887451,7.61078882,11.51000023,Upper middle income,4260.0,6.20748714636473,8.5 
106,Argentina,2006,13.8613327934738,1.4715805737615602,1.3617476557568249,232557000000.0,5919.012338,455.7980957,7.64032841,10.07999992,Upper middle income,5480.0,6.22946871849133,8.5 
107,Argentina,2007,13.75563364196263,1.4909738099988,1.227311237156692,287531000000.0,7245.446857,572.0401001,7.83455086,8.470000267,Upper middle income,6510.0,6.13494216000763,8.2 
108,Argentina,2008,13.63675112624552,1.5211289380699,0.8765569508136127,361558000000.0,9020.873323,746.4932861,8.18266869,7.840000153,Upper middle income,7670.0,6.15842625035946,8.6 
109,Argentina,2009,13.53768291145206,1.51321323204259,1.0335447766952703,332976000000.0,8225.137583,785.6702271,9.45598793,8.649999619,Upper middle income,7790.0,6.15094513761225,8.4 
110,Argentina,2010,13.50099212302489,1.48177292298034,0.8049305421066751,423627000000.0,10385.96443,985.0344238,9.44546986,7.710000038,Upper middle income,9270.0,6.16698931777771,8.4 
111,Argentina,2011,13.509212121089709,1.4906752728438,0.8686451277613544,530163000000.0,12848.8642,1208.391602,9.41821575,7.179999828,Upper middle income,10710.0,6.19338969138197,8.4 
112,Argentina,2012,13.52482420827926,1.50824832477148,1.3666819655346174,545982000000.0,13082.66433,1368.422974,9.82728195,7.21999979,Upper middle income,11870.0,6.23158313775767,9.0 
113,Argentina,2013,13.54709644658961,1.5050570558817,1.582662552999714,552025000000.0,13080.25473,1421.657593,9.78097343,7.099999905,Upper middle income,12840.0,6.25492678978646,8.5 
114,Argentina,2014,13.56467278333618,1.48255064473532,1.8924451664392647,526320000000.0,12334.79825,1286.217651,9.67129135,7.269999981,Upper middle income,12330.0,6.31495728087846,9.2 
115,Argentina,2015,13.57899172719062,1.4410592028158,2.068509609110901,594749000000.0,13789.06042,1531.484253,10.22933865,7.520999908,Upper middle income,12570.0,6.340839304363801,8.1 
116,Argentina,2016,13.59060028095648,1.43081768494264,2.0105981487748386,557531000000.0,12790.24247,1153.534058,9.00189686,8.111000061,Upper middle income,12220.0,6.279711857802391,8.1 
117,Argentina,2017,13.59725185671997,1.42974834661863,2.0440530636681267,643629000000.0,14613.04182,1529.670044,10.44225502,8.350000381,Upper middle income,13140.0,6.292826704840181,8.7 
118,Argentina,2018,13.600910623225,1.44927889349392,,524820000000.0,11795.15939,1127.928467,9.66646481,9.220000267,Upper middle income,12370.0,6.33305688800663,9.0 
119,Argentina,2019,13.595222597372992,1.44169656886697,,451932000000.0,10056.63794,945.9919434,9.5100708,9.840000153,Upper middle income,11130.0,6.330091675908189,8.1 
120,Armenia,2000,11.64403468256005,0.52398297321779,3.7286296511458494,1911563669.0,622.7409229,26.12908936,4.19580364,11.04800034,Upper middle income,660.0,4.78735111631352,3.3 
121,Armenia,2001,11.64780468142138,0.5508799354488101,3.7155969992630657,2118467913.0,694.4234554,32.25933838,4.64562702,10.9119997,Upper middle income,710.0,4.79508044575612,3.1 
122,Armenia,2002,11.62786764127827,0.5782776372291399,3.635484914953876,2376335048.0,783.241215,59.63238907,7.61359835,10.77600002,Upper middle income,800.0,4.82913303439387,3.1 
123,Armenia,2003,11.59000050233793,0.6022401079642999,3.5584438091581974,2807061009.0,930.1254727,66.77802277,7.17937517,10.59399986,Upper middle income,960.0,4.82414836798795,2.5 
124,Armenia,2004,11.55327195062414,0.6935698685585501,3.5846142301175985,3576615240.0,1191.921006,72.17178345,6.05508518,10.34399986,Upper middle income,1180.0,4.85149064661659,3.6 
125,Armenia,2005,11.51880762100615,0.7964802072559001,3.590348113153729,4900469950.0,1643.756889,96.35484314,5.86188269,10.20300007,Upper middle income,1540.0,4.80783622353406,3.8 
126,Armenia,2006,11.48671766590574,0.91587015244645,3.59819876178194,6384451606.0,2158.148074,126.252945,5.85007095,9.996999741,Upper middle income,2020.0,4.74635406506409,5.4 
127,Armenia,2007,11.44830740313135,0.9728173424712,3.581871777102379,9206301700.0,3139.28071,172.6018677,5.49814558,9.81000042,Upper middle income,2760.0,4.78839306737985,5.0 
128,Armenia,2008,11.41498022263862,1.0021708326636,3.5933380811750384,11662040714.0,4010.861381,266.3115845,6.6397624,14.39299965,Upper middle income,3600.0,4.74891456898581,4.2 
129,Armenia,2009,11.3834290585682,1.03622693166561,3.650689678287923,8647936748.0,2994.340471,252.8356018,8.44377995,18.44000053,Upper middle income,3340.0,4.76143756182593,4.1 
130,Armenia,2010,11.36305550378274,1.06586632535512,3.68099541679229,9260284938.0,3218.378299,297.2290649,9.23539066,19.01000023,Upper middle income,3470.0,4.78175900984364,5.9 
131,Armenia,2011,11.355047896695671,1.10102612199935,3.638539567483301,10142111334.0,3525.807198,330.5755615,9.37587833,18.44000053,Upper middle income,3530.0,4.80684297213104,5.7 
132,Armenia,2012,11.35593368376138,1.11663026732316,3.571628590560289,10619320049.0,3681.844691,336.3205566,9.134552,17.29999924,Upper middle income,3880.0,4.874398513122101,6.4 
133,Armenia,2013,11.36323976345529,1.10447835849553,3.4819797260739804,11121465767.0,3838.17388,396.232544,10.32344532,16.18000031,Upper middle income,4110.0,4.99240075376292,5.3 
134,Armenia,2014,11.36819230924115,1.09589828281435,3.464380973227111,11609512940.0,3986.231624,405.7288818,10.17827034,17.5,Upper middle income,4140.0,5.013802085817,4.6 
135,Armenia,2015,11.370858858024,1.08310984180671,3.4251286525731977,10553337673.0,3607.289299,364.9728088,10.11763382,18.26000023,Upper middle income,4010.0,4.95760436139596,4.7 
136,Armenia,2016,11.36776115763246,1.06599118005853,3.347599405804171,10546135160.0,3591.828052,357.4577637,9.95196629,17.62000084,Upper middle income,3760.0,4.95397664053078,4.4 
137,Armenia,2017,11.36580778575831,1.03581478088897,3.3858310288743887,11527458566.0,3914.527854,405.6506958,10.36270523,17.70000076,Upper middle income,3950.0,5.00186979629323,2.4 
138,Armenia,2018,11.36941329516193,1.03118335062817,,12457941907.0,4220.540321,422.2826843,10.00543404,18.96999931,Upper middle income,4250.0,5.01371890959994,1.7 
139,Armenia,2019,11.3801333584617,1.02580232398004,,13619291361.0,4604.646324,523.9990845,11.33526421,18.29999924,Upper middle income,4680.0,5.03693410232995,2.7 
140,Australia,2000,18.32251720636425,2.02540504524725,17.396905209169404,415576000000.0,21697.70848,1638.814941,7.61383343,6.28000021,High income,21120.0,9.22398110980153,11.8 
141,Australia,2001,18.44712647157251,1.94743960627239,17.4058520444251,379084000000.0,19527.32358,1564.166504,7.69622898,6.739999771,High income,20110.0,9.37607785514463,11.2 
142,Australia,2002,18.68995962182585,1.87528170651917,17.74735511291275,395343000000.0,20117.78889,1770.466187,7.89332151,6.369999886,High income,19990.0,9.528054675733651,10.4 
143,Australia,2003,18.96608915832132,1.85629494963806,16.00036982722451,467391000000.0,23492.40517,2249.290771,7.90449524,5.929999828,High income,21120.0,9.741188218551269,9.6 
144,Australia,2004,19.20550544142387,1.8217117397797504,16.197948408057552,614166000000.0,30513.94174,2767.136963,8.10948753,5.389999866,High income,25480.0,9.93637344997775,9.2 
145,Australia,2005,19.32192865456372,1.8018649002930096,16.548822298543506,695075000000.0,34080.9999,3013.087646,7.99008226,5.03000021,High income,30310.0,10.0600125878278,10.1 
146,Australia,2006,19.33652367122582,1.7858986847827802,16.097676532141175,747556000000.0,36117.48798,3184.807617,7.98943853,4.78000021,High income,34090.0,10.08683858578826,9.5 
147,Australia,2007,19.33635930963517,1.80896441040945,14.393149386610938,853955000000.0,41001.14298,3799.737549,8.06755352,4.380000114,High income,37300.0,10.02695368751893,9.8 
148,Australia,2008,19.32798091128679,1.83994752368802,15.806668899803896,1055130000000.0,49654.9106,4090.761963,8.25585651,4.230000019,High income,42330.0,10.0006945235531,10.4 
149,Australia,2009,19.30817917947452,1.8716101509561296,16.641173798200473,928043000000.0,42783.32257,3995.340088,8.56316471,5.559999943,High income,44050.0,10.00559090951565,10.0 
150,Australia,2010,19.29116595095266,1.8991342050769096,15.467093350107456,1147590000000.0,52087.97229,4945.038086,8.4308424,5.210000038,High income,46630.0,10.04331612527163,10.4 
151,Australia,2011,19.25274013068823,1.87748351176099,13.348744771566183,1397910000000.0,62574.1457,5861.702637,8.54153824,5.079999924,High income,50320.0,10.04140958774324,10.1 
152,Australia,2012,19.19034628205202,1.88717021399144,14.180511492780251,1546510000000.0,68027.84171,6025.344727,8.67564774,5.21999979,High income,60210.0,10.09327794537596,10.5 
